id,nome,siglaUf,siglaPartido,idLegislatura
204394,Gervásio Maia,PB,PSB,56
74383,Giacobo,PR,PL,56
204575,Gil Cutrim,MA,REPUBLICANOS,56
204491,Gilberto Abramo,MG,REPUBLICANOS,56
74270,Gilberto Nascimento,SP,PSC,56
204365,Gilson Marques,SC,NOVO,56
160673,Giovani Cherini,RS,PL,56
178996,Giovani Feltes,RS,MDB,56
152605,Glauber Braga,RJ,PSOL,56
204419,Glaustin da Fokus,GO,PSC,56
107283,Gleisi Hoffmann,PR,PT,56
74419,Gonzaga Patriota,PE,PSB,56
198197,Greyce Elias,MG,AVANTE,56
204513,Guiga Peixoto,SP,PSL,56
204531,Guilherme Derrite,SP,PP,56
160667,Guilherme Mussi,SP,PP,56
204442,Gurgel,RJ,PSL,56
73460,Gustavo Fruet,PR,PDT,56
204408,Gustinho Ribeiro,SE,SOLIDARIEDADE,56
204456,Gutemberg Reis,RJ,MDB,56
204465,Haroldo Cathedral,RR,PSD,56
204548,Heitor Freire,CE,PSL,56
178964,Heitor Schuch,RS,PSB,56
178873,Helder Salomão,ES,PT,56
204373,Hélio Costa,SC,REPUBLICANOS,56
178909,Hélio Leite,PA,DEM,56
204444,Helio Lopes,RJ,PSL,56
217036,Henrique do Paraíso,SP,REPUBLICANOS,56
73482,Henrique Fontana,RS,PT,56
204539,Hercílio Coelho Diniz,MG,MDB,56
178981,Herculano Passos,SP,MDB,56
73772,Hermes Parcianello,PR,MDB,56
178884,Hildo Rocha,MA,MDB,56
178959,Hiran Gonçalves,RR,PP,56
141450,Hugo Leal,RJ,PSD,56
160674,Hugo Motta,PB,REPUBLICANOS,56
204533,Idilvan Alencar,CE,PDT,56
204564,Igor Kannário,BA,DEM,56
204508,Igor Timo,MG,PODE,56
67138,Iracema Portella,PI,PP,56
204436,Isnaldo Bulhões Jr.,AL,MDB,56
73531,Ivan Valente,SP,PSOL,56
74848,Jandira Feghali,RJ,PCdoB,56
108338,Jaqueline Cassol,RO,PP,56
74273,Jefferson Campos,SP,PSB,56
160570,Jerônimo Goergen,RS,PP,56
178839,Jéssica Sales,AC,MDB,56
204435,Jesus Sérgio,AC,PDT,56
160531,Jhonatan de Jesus,RR,REPUBLICANOS,56
74366,João Campos,GO,REPUBLICANOS,56
141458,João Carlos Bacelar,BA,PL,56
178970,João Daniel,SE,PT,56
141459,João Maia,RN,PL,56
112437,João Marcelo Souza,MA,MDB,56
178910,Joaquim Passarinho,PA,PSD,56
204468,Joenia Wapichana,RR,REDE,56
204546,Joice Hasselmann,SP,PSL,56
217480,Jones Moura,RJ,PSD,56
205550,Jorge Braz,RJ,REPUBLICANOS,56
178857,Jorge Solla,BA,PT,56
141464,José Airton Félix Cirilo,CE,PT,56
141470,José Guimarães,CE,PT,56
204386,Jose Mario Schreiner,GO,DEM,56
204472,José Medeiros,MT,PODE,56
204391,José Nelto,GO,PODE,56
160619,José Nunes,BA,PSD,56
74079,José Priante,PA,MDB,56
204555,José Ricardo,AM,PT,56
74554,José Rocha,BA,PL,56
209189,Joseildo Ramos,BA,PT,56
204563,Josimar Maranhãozinho,MA,PL,56
215043,Josivaldo JP,MA,PODE,56
204474,Juarez Costa,MT,MDB,56
204420,Julian Lemos,PB,PSL,56
74317,Júlio Cesar,PI,PSD,56
204372,Julio Cesar Ribeiro,DF,REPUBLICANOS,56
