id,data,siglaOrgao,aprovacao
2198420-2,2019-04-24,CTUR,1
2198324-2,2019-04-24,CTUR,1
2198319-2,2019-04-24,CTUR,1
2193606-23,2019-04-24,CPD,1
2199047-2,2019-04-24,CIDOSO,1
2199028-2,2019-04-24,CIDOSO,1
2198890-2,2019-04-24,CIDOSO,1
2198781-2,2019-04-24,CIDOSO,1
2198772-2,2019-04-24,CIDOSO,1
2198342-2,2019-04-24,CIDOSO,1
2196672-2,2019-04-24,CIDOSO,1
2198891-2,2019-04-24,CIDOSO,1
513724-65,2019-04-24,CSSF,1
2198972-3,2019-04-24,CIDOSO,1
2199056-2,2019-04-24,CESPO,1
2198985-2,2019-04-24,CPD,1
2198831-3,2019-04-24,CSPCCO,1
2190881-29,2019-04-24,CSPCCO,1
2198934-2,2019-04-24,CPD,1
2198233-4,2019-04-24,CIDOSO,1
2198545-2,2019-04-24,CIDOSO,1
2199013-2,2019-04-24,CE,1
2198693-2,2019-04-24,CE,1
2198692-2,2019-04-24,CE,1
2198884-2,2019-04-24,CE,1
2190322-18,2019-04-24,CREDN,1
2198948-2,2019-04-24,CREDN,1
2198819-2,2019-04-24,CREDN,1
2198764-2,2019-04-24,CREDN,1
2198715-2,2019-04-24,CREDN,1
465295-63,2019-04-24,CSSF,1
2198449-3,2019-04-24,CTASP,1
2198437-3,2019-04-24,CDC,1
2197686-3,2019-04-24,CDC,1
2197684-3,2019-04-24,CDC,1
2199004-3,2019-04-24,CDC,1
2197422-3,2019-04-24,CDC,1
2198599-3,2019-04-24,CDC,1
2197399-3,2019-04-24,CDC,1
2199034-2,2019-04-24,CAPADR,1
2198893-2,2019-04-24,CAPADR,1
2198877-2,2019-04-24,CAPADR,1
2198876-2,2019-04-24,CAPADR,1
2196882-3,2019-04-24,CDC,1
2198375-2,2019-04-24,CAPADR,1
2198883-2,2019-04-24,CE,1
2198228-2,2019-04-24,CAPADR,1
2198220-2,2019-04-24,CAPADR,1
2197825-2,2019-04-24,CAPADR,1
1734804-28,2019-04-24,CVT,1
2197745-2,2019-04-24,CAPADR,1
2198828-3,2019-04-24,CTASP,1
2198448-3,2019-04-24,CTASP,1
2198210-3,2019-04-24,CTASP,1
2197969-3,2019-04-24,CTASP,1
2197380-3,2019-04-24,CTASP,1
2197379-3,2019-04-24,CTASP,1
2189821-22,2019-04-24,CVT,1
2199061-2,2019-04-24,CSSF,1
2198155-3,2019-04-24,CDC,1
2197642-2,2019-04-24,CAPADR,1
2198982-2,2019-04-24,CVT,1
2199031-2,2019-04-24,CSSF,1
2199024-2,2019-04-24,CSSF,1
2199007-2,2019-04-24,CSSF,1
2198994-2,2019-04-24,CSSF,1
2197490-2,2019-04-24,CAPADR,1
2198935-2,2019-04-24,CSSF,1
2198886-2,2019-04-24,CSSF,1
2198822-2,2019-04-24,CSSF,1
2198775-2,2019-04-24,CSSF,1
2198763-2,2019-04-24,CSSF,1
2198738-2,2019-04-24,CSSF,1
2198514-2,2019-04-24,CSSF,1
2198497-2,2019-04-24,CSSF,1
587931-33,2019-04-24,CSSF,1
2198386-2,2019-04-24,CSSF,1
2198289-2,2019-04-24,CSSF,1
2198187-2,2019-04-24,CSSF,1
2197408-2,2019-04-24,CAPADR,1
2199011-2,2019-04-24,CE,1
2199006-2,2019-04-24,CME,1
2193962-2,2019-04-24,CAPADR,1
2198541-2,2019-04-24,CME,1
2198600-2,2019-04-24,CVT,1
2198747-3,2019-04-24,CE,1
2198069-2,2019-04-24,CME,1
2198467-2,2019-04-24,CVT,1
2198230-2,2019-04-24,CVT,1
2198209-2,2019-04-24,CVT,1
2198062-2,2019-04-24,CVT,1
2197915-2,2019-04-24,CME,1
2197871-2,2019-04-24,CME,1
2195664-2,2019-04-24,CME,1
608120-72,2019-04-24,CDEICS,1
2198582-3,2019-04-24,CDEICS,1
2157782-39,2019-04-24,CDEICS,1
2198867-2,2019-04-24,CDEICS,1
2192459-114,2019-04-23,CCJC,1
2197811-2,2019-04-23,CEXFEMIN,1
2197646-2,2019-04-23,CEXFEMIN,1
2190070-26,2019-04-10,CDEICS,1
2190069-26,2019-04-10,CDEICS,1
2198428-2,2019-04-17,GTPENAL,1
2198404-2,2019-04-17,GTPENAL,1
2198353-2,2019-04-17,GTPENAL,1
2197296-2,2019-04-16,CE,1
2197842-2,2019-04-16,CPIBNDES,1
2197365-3,2019-04-16,CPIBNDES,1
2197340-3,2019-04-16,CPIBNDES,1
2195892-2,2019-04-16,CPIBNDES,1
522447-59,2019-04-16,CSPCCO,1
2197733-2,2019-04-16,CPIBNDES,1
2197731-2,2019-04-16,CPIBNDES,1
2196959-3,2019-04-16,CPIBNDES,1
2198049-2,2019-04-16,CSPCCO,1
2198135-2,2019-04-16,CPIBNDES,1
2198134-2,2019-04-16,CPIBNDES,1
2198092-2,2019-04-16,CESPO,1
2198133-2,2019-04-16,CPIBNDES,1
2198132-2,2019-04-16,CPIBNDES,1
2198130-2,2019-04-16,CPIBNDES,1
2198129-2,2019-04-16,CPIBNDES,1
2198048-3,2019-04-16,CSPCCO,1
2198104-2,2019-04-16,CPIBNDES,1
2198114-2,2019-04-16,CESPO,1
2198029-2,2019-04-16,CPIBNDES,1
2197721-2,2019-04-16,CPIBNDES,1
2197262-3,2019-04-16,CPIBNDES,1
2197066-4,2019-04-16,CPIBNDES,1
2196608-2,2019-04-16,CPIBNDES,1
2196218-3,2019-04-16,CPIBNDES,1
2195436-6,2019-04-16,CSPCCO,1
2197963-2,2019-04-16,CMADS,1
2197980-3,2019-04-16,CESPO,1
2197633-2,2019-04-16,CMADS,1
2197429-2,2019-04-16,CMADS,1
2197411-2,2019-04-16,CMADS,1
2197177-2,2019-04-16,CMADS,1
2198043-3,2019-04-16,CSPCCO,1
2198067-2,2019-04-16,CTUR,1
2197597-2,2019-04-16,CSPCCO,1
2197985-2,2019-04-16,CTUR,1
2197984-2,2019-04-16,CTUR,1
2197983-2,2019-04-16,CTUR,1
2197982-2,2019-04-16,CTUR,1
2197981-2,2019-04-16,CTUR,1
2197836-2,2019-04-16,CTUR,1
2197804-2,2019-04-16,CTUR,1
2197451-2,2019-04-16,CTUR,1
2197318-3,2019-04-16,CSPCCO,1
2198047-2,2019-04-16,CESPO,1
2197614-2,2019-04-16,CESPO,1
2197577-3,2019-04-16,CESPO,1
2198109-5,2019-04-16,CSPCCO,1
2198109-3,2019-04-16,CSPCCO,1
2198105-2,2019-04-16,CINDRA,1
2197407-2,2019-04-16,CINDRA,1
2190324-18,2019-04-16,CREDN,1
2198108-2,2019-04-16,CREDN,1
2197738-2,2019-04-16,CREDN,1
2197552-2,2019-04-16,CREDN,1
2197081-2,2019-04-16,CREDN,1
2192602-21,2019-04-16,CVT,1
2197042-3,2019-04-16,CVT,1
2189827-22,2019-04-16,CVT,1
2162957-31,2019-04-16,CVT,1
2197080-2,2019-04-16,CREDN,1
2189822-22,2019-04-16,CVT,1
2197560-2,2019-04-16,CVT,1
2197418-2,2019-04-16,CVT,1
2196615-2,2019-04-16,CREDN,1
2196756-3,2019-04-16,CVT,1
2196624-3,2019-04-16,CVT,1
2195343-3,2019-04-16,CREDN,1
2194995-3,2019-04-16,CREDN,1
